date,view,available_cash_expected_cents,available_cash_p5_cents,available_cash_p50_cents,available_cash_p95_cents,cash_locked_expected_cents,credit_capacity_committed_expected_cents
2024-08-20,bank_only,2741120500,2649988329,2772245160,2776124745,0,0
2024-08-21,bank_only,2755236434,2665362839,2787013689,2793973153,0,0
2024-08-22,bank_only,2761290692,2670388890,2768526696,2809143004,0,0
2024-08-23,bank_only,2758816636,2688534543,2776946475,2781649623,0,0
2024-08-24,bank_only,2758816636,2688534543,2776946475,2781649623,0,0
2024-08-25,bank_only,2758816636,2688534543,2776946475,2781649623,0,0
2024-08-26,bank_only,2769400260,2701945411,2791797164,2811644856,0,0
2024-08-27,bank_only,2773620370,2684085855,2798743682,2825867120,0,0
2024-08-28,bank_only,2778100478,2698406319,2798455765,2821944625,0,0
2024-08-29,bank_only,2787721994,2712524405,2798743682,2838050598,0,0
2024-08-30,bank_only,2789907425,2712524405,2798743682,2832068425,0,0
2024-08-31,bank_only,2789907425,2712524405,2798743682,2832068425,0,0
2024-09-01,bank_only,2789907425,2712524405,2798743682,2832068425,0,0
2024-09-02,bank_only,2789907425,2712524405,2798743682,2832068425,0,0
2024-09-03,bank_only,2799643676,2727307060,2807064289,2847434370,0,0
2024-09-04,bank_only,2816471352,2743867206,2824501798,2866110889,0,0
2024-09-05,bank_only,2818121329,2733916050,2822049796,2877376861,0,0
2024-09-06,bank_only,2827022431,2734023273,2833374005,2879147621,0,0
2024-09-07,bank_only,2827022431,2734023273,2833374005,2879147621,0,0
2024-09-08,bank_only,2827022431,2734023273,2833374005,2879147621,0,0
2024-09-09,bank_only,2832211409,2751710741,2839449320,2888409020,0,0
2024-09-10,bank_only,2842508758,2758196290,2846461337,2904054273,0,0
2024-09-11,bank_only,2854029284,2761453746,2862123232,2914184898,0,0
2024-09-12,bank_only,2849676452,2771390428,2857058820,2916630067,0,0
2024-09-13,bank_only,2826507718,2755392079,2827516668,2908569823,0,0
2024-09-14,bank_only,2826507718,2755392079,2827516668,2908569823,0,0
2024-09-15,bank_only,2826507718,2755392079,2827516668,2908569823,0,0
2024-09-16,bank_only,2802724984,2702405939,2805415448,2882930362,0,0
2024-09-17,bank_only,2794769838,2698288494,2792924035,2890939405,0,0
2024-09-18,bank_only,2774943338,2649658394,2769202414,2909826896,0,0
2024-09-19,bank_only,2751669986,2633749956,2742888776,2869420668,0,0
2024-09-20,bank_only,2661333928,2581063485,2669835398,2717468756,0,0
2024-09-21,bank_only,2661333928,2581063485,2669835398,2717468756,0,0
2024-09-22,bank_only,2661333928,2581063485,2669835398,2717468756,0,0
2024-09-23,bank_only,2675023758,2594753794,2680973071,2733490586,0,0
2024-09-24,bank_only,2681349574,2604016682,2687547177,2747288151,0,0
2024-09-25,bank_only,2680517125,2577331216,2685965484,2741706355,0,0
